,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
128,cabo san lucas,40,MX,1570056582,61,86.0,22.89,-109.91,4.7
129,alta floresta,92,BR,1570056752,86,73.91,-9.87,-56.08,3.71
130,yar-sale,62,RU,1570056752,82,40.25,66.83,70.83,15.61
131,nanortalik,100,GL,1570056752,74,42.26,60.14,-45.24,2.57
132,vao,96,EE,1570056753,81,44.03,59.1,26.19,5.99
133,weihai,0,CN,1570056753,13,80.01,37.5,122.11,3.0
134,bunawan,75,PH,1570056753,94,75.2,7.24,125.64,3.36
135,allapalli,67,IN,1570056754,95,72.16,19.43,80.06,1.39
136,boyolali,56,ID,1570056754,94,77.0,-7.53,110.6,0.63
137,emerald,7,AU,1570056755,60,69.8,-23.53,148.16,8.05
138,cayenne,0,GF,1570056755,78,82.4,4.94,-52.33,8.05
139,balkanabat,0,TM,1570056756,31,65.86,39.51,54.36,3.4
140,eldorado,80,BR,1570056756,89,69.21,-24.52,-48.11,0.27
141,petropavlovka,1,RU,1570056756,73,22.14,50.61,105.32,1.19
142,kapaa,40,US,1570056757,70,84.2,22.08,-159.32,16.11
143,copiapo,0,CL,1570056757,67,57.2,-27.37,-70.33,14.99
144,luderitz,0,NA,1570056758,93,55.37,-26.65,15.16,21.09
145,cam ranh,20,VN,1570056758,94,78.8,11.92,109.15,4.7
146,tilichiki,100,RU,1570056759,98,34.24,60.47,166.1,4.54
147,lebu,69,ET,1570056759,92,51.48,8.96,38.73,1.86
148,castro,0,CL,1570056759,43,50.0,-42.48,-73.76,6.93
149,hilo,90,US,1570056759,78,78.8,19.71,-155.08,5.82
150,cabedelo,0,BR,1570056759,83,75.2,-6.97,-34.84,5.82
151,wanning,75,AT,1570056759,87,48.2,48.64,13.53,17.22
152,bathsheba,20,BB,1570056760,70,84.2,13.22,-59.52,14.99
153,alyangula,99,AU,1570056760,94,73.4,-13.85,136.42,12.57
154,mehamn,100,NO,1570056761,74,35.5,71.03,27.85,13.29
155,micheweni,92,TZ,1570056761,82,78.88,-4.97,39.83,11.14
156,sur,31,OM,1570056761,60,83.63,22.57,59.53,8.25
157,marawi,76,PH,1570056761,84,77.0,8.0,124.29,5.99
158,nelson bay,0,AU,1570056761,49,73.0,-32.72,152.14,12.75
159,rocha,100,UY,1570056506,88,50.72,-34.48,-54.34,11.63
160,wajid,99,SO,1570056762,64,77.33,3.81,43.25,14.76
161,hamilton,90,CA,1570056494,100,57.2,43.26,-79.87,14.99
162,aykhal,75,RU,1570056762,100,21.2,65.95,111.51,4.47
163,malmesbury,0,GB,1570056762,93,46.0,51.58,-2.1,2.24
164,hithadhoo,98,MV,1570056762,80,82.3,-0.6,73.08,17.07
165,estacion coahuila,1,MX,1570056763,22,90.0,32.19,-115.0,3.6
166,san jose,90,HN,1570056692,65,80.6,14.25,-87.96,5.82
167,ugoofaaru,100,MV,1570056763,71,83.02,5.67,73.0,6.76
168,kirkwood,91,ZA,1570056763,93,60.8,-33.4,25.44,4.7
169,clyde river,75,CA,1570056763,93,35.6,70.47,-68.59,9.17
170,kysyl-syr,48,RU,1570056764,78,25.27,63.9,122.77,4.45
171,faxinal,53,BR,1570056764,47,76.93,-24.0,-51.32,2.51
172,bonavista,51,CA,1570056764,86,42.01,48.65,-53.11,3.0
173,oranjemund,1,ZA,1570056764,93,57.13,-28.55,16.43,10.31
174,erzin,20,TR,1570056674,78,77.0,36.95,36.2,1.12
175,kindu,6,CD,1570056765,96,69.64,-2.95,25.92,1.72
176,sungaipenuh,92,ID,1570056765,90,72.16,-2.08,101.38,0.56
177,luanda,75,AO,1570056765,88,75.2,-8.83,13.24,11.41
178,junagarh,77,IN,1570056766,93,70.36,19.86,82.94,3.22
179,ekhabi,68,RU,1570056766,60,41.26,53.51,142.97,24.65
180,olinda,0,AU,1570056766,33,77.0,-37.84,145.39,19.46
181,norman wells,90,CA,1570056766,93,46.4,65.28,-126.83,2.24
182,andrews,90,US,1570056767,69,89.6,32.32,-102.55,14.99
183,san javier,98,BR,1570056767,95,68.0,-27.87,-55.13,8.59
184,boa vista,0,BR,1570056527,49,89.6,2.82,-60.67,5.82
185,samfya,95,ZM,1570056767,82,64.75,-11.37,29.56,6.35
186,narsaq,75,GL,1570056767,32,53.6,60.91,-46.05,34.45
187,namibe,33,AO,1570056767,81,64.87,-15.19,12.15,6.06
188,taunggyi,85,MM,1570056768,96,64.17,20.78,97.03,0.94
189,kodiak,90,US,1570056768,93,73.99,39.95,-94.76,8.05
190,brtnice,90,CZ,1570056769,87,48.0,49.31,15.68,17.22
191,horta,40,BR,1570056769,78,78.8,-10.93,-37.66,16.11
192,north bend,40,US,1570056769,67,62.01,43.41,-124.22,8.05
193,mackay,20,CA,1570056770,41,59.0,53.65,-115.58,3.36
194,guerrero negro,0,MX,1570056770,77,67.05,27.97,-114.04,14.61
195,te anau,45,NZ,1570056770,74,42.26,-45.41,167.72,3.89
196,flinders,0,AU,1570056770,40,73.99,-34.58,150.85,8.05
197,eyl,41,SO,1570056775,96,70.63,7.98,49.82,1.68
198,pokrovskoye,0,RU,1570056775,64,56.09,47.41,38.9,7.56
199,butaritari,97,KI,1570056775,61,84.71,3.07,172.79,4.43
200,acapulco,75,MX,1570056776,74,86.0,16.86,-99.88,8.05
201,qaanaaq,45,GL,1570056776,76,21.92,77.48,-69.36,3.94
202,gurupi,100,BR,1570056655,74,72.13,-11.73,-49.07,5.12
203,lima,90,PE,1570056695,82,64.4,-12.06,-77.04,11.41
204,lagoa,0,PT,1570056776,63,66.2,37.14,-8.45,9.17
205,kaitangata,86,NZ,1570056776,58,50.0,-46.28,169.85,11.99
206,la orilla,51,MX,1570056777,79,81.36,18.0,-102.23,7.05
207,izumo,20,JP,1570056777,57,78.8,35.37,132.75,10.29
208,sao joao da barra,0,BR,1570056777,89,65.32,-21.64,-41.05,2.93
209,nantucket,90,US,1570056734,93,63.0,41.28,-70.1,10.29
210,tiksi,100,RU,1570056777,89,24.75,71.64,128.87,25.75
211,torquay,0,GB,1570056778,100,48.0,50.47,-3.52,1.12
212,banmankhi,17,IN,1570056778,88,73.87,25.89,87.19,5.39
213,kahului,40,US,1570056778,65,87.8,20.89,-156.47,25.28
214,dhulagari,75,IN,1570056778,94,78.8,22.59,88.17,2.66
215,broome,0,GB,1570056778,87,50.0,52.47,1.45,6.93
216,barrhead,90,CA,1570056779,40,53.6,54.12,-114.4,6.93
217,dhidhdhoo,50,MV,1570056779,71,82.24,6.88,73.1,6.17
218,clacton-on-sea,0,GB,1570056779,87,50.0,51.79,1.16,6.93
219,torbay,90,CA,1570056537,86,44.01,47.66,-52.73,17.22
220,saint anthony,90,US,1570056738,56,48.0,43.97,-111.68,11.41
221,vrangel,100,RU,1570056779,73,65.93,42.73,133.08,2.71
222,cidreira,100,BR,1570056780,91,65.25,-30.17,-50.22,10.27
223,nea alikarnassos,20,GR,1570056780,88,71.01,35.33,25.17,5.82
224,yeppoon,56,AU,1570056780,60,71.6,-23.13,150.74,12.75
225,esperance,67,AU,1570056780,100,55.4,-33.86,121.89,8.05
226,ewa beach,90,US,1570056780,69,87.8,21.32,-158.01,12.75
227,maltahohe,0,NA,1570056781,21,53.12,-24.83,16.98,6.2
228,kloulklubed,75,PW,1570056781,78,82.4,7.04,134.26,4.7
229,airai,0,TL,1570056781,36,84.2,-8.93,125.41,2.37
230,srandakan,99,ID,1570056781,89,75.49,-7.94,110.25,4.9
231,nhulunbuy,40,AU,1570056781,69,80.6,-12.18,136.78,13.87
232,nouadhibou,33,MR,1570056782,33,86.0,20.93,-17.03,9.17
233,lavrentiya,56,RU,1570056782,73,37.58,65.58,-170.99,13.78
234,elizabeth city,1,US,1570056703,66,91.4,36.3,-76.22,5.82
235,shache,0,CN,1570056782,34,59.76,38.42,77.24,5.97
236,ahuimanu,90,US,1570056737,69,87.8,21.44,-157.84,12.75
237,ancud,0,CL,1570056782,43,50.0,-41.87,-73.83,6.93
238,kasane,0,BW,1570056783,69,66.1,-17.8,25.16,7.2
239,isangel,75,VU,1570056519,57,78.8,-19.55,169.27,11.41
240,chilca,40,PE,1570056783,38,59.0,-13.22,-72.34,14.99
241,badiraguato,75,MX,1570056783,66,91.0,25.36,-107.55,4.7
242,kumluca,0,TR,1570056783,76,53.41,36.37,30.29,2.8
243,vesoul,0,FR,1570056784,93,44.01,47.62,6.16,2.24
244,karatau,0,KZ,1570056784,42,42.84,43.18,70.46,4.97
245,moundou,100,TD,1570056784,92,69.8,8.57,16.07,2.71
246,kaitong,57,CN,1570056784,48,52.27,44.81,123.15,18.59
247,pevek,100,RU,1570056785,72,30.06,69.7,170.27,9.89
248,bushehr,0,IR,1570056785,79,86.0,28.97,50.84,5.68
249,half moon bay,20,US,1570056785,49,77.0,37.46,-122.43,19.46
250,beauceville,51,CA,1570056785,89,45.0,46.21,-70.77,2.84
251,port blair,21,IN,1570056786,72,81.32,11.67,92.75,3.58
252,hami,92,CN,1570056786,30,50.22,42.84,93.51,3.04
253,cururupu,50,BR,1570056786,87,73.69,-1.82,-44.87,2.95
254,mantua,0,IT,1570056786,77,64.4,45.16,10.79,5.82
255,tautira,20,PF,1570056787,58,84.2,-17.73,-149.15,4.7
256,oistins,20,BB,1570056787,70,84.2,13.07,-59.53,14.99
257,fortuna,1,US,1570056787,51,62.6,40.6,-124.16,11.41
258,auki,51,NG,1570056787,80,74.23,12.18,6.51,7.56
259,kruisfontein,100,ZA,1570056787,62,61.24,-34.0,24.73,15.99
260,manokwari,0,ID,1570056788,67,78.93,-0.87,134.08,4.07
261,takab,0,IR,1570056788,55,44.17,36.4,47.11,2.08
262,traverse city,90,US,1570056501,71,55.4,44.76,-85.62,9.17
263,merauke,6,ID,1570056788,80,78.68,-8.49,140.4,18.32
264,bilma,0,NE,1570056788,16,86.4,18.69,12.92,8.14
265,betsiamites,90,CA,1570056788,60,42.8,48.94,-68.65,6.93
266,isla mujeres,75,MX,1570056789,74,84.2,21.23,-86.73,5.82
267,minab,0,IR,1570056789,74,84.2,27.15,57.07,1.12
268,roald,97,NO,1570056789,87,48.2,62.58,6.12,5.82
269,san andres,91,PH,1570056790,75,82.76,13.32,122.68,1.5
270,tzaneen,0,ZA,1570056790,57,51.8,-23.83,30.16,12.75
271,xingtai,81,CN,1570056790,52,72.11,37.07,114.49,2.59
